date,ticker,F_debt,stock_price,shares,Tbill
2020-06-30,MMM,12181,155.99001,575.196,0.18
2020-07-31,MMM,12181,150.47,576.019,0.15
2020-08-31,MMM,12181,163.02,576.019,0.13
2020-09-30,MMM,12181,160.17999,576.019,0.13
2020-10-30,MMM,12181,159.96001,576.822,0.13
2020-11-30,MMM,12181,172.73,576.822,0.12
2020-12-31,MMM,12181,174.78999,576.822,0.1
2021-01-29,MMM,12181,175.66,577.75,0.1
2021-02-26,MMM,12181,175.06,579.1,0.07
2021-03-31,MMM,10429.5,192.67999,579.417,0.08
2021-04-30,MMM,10429.5,197.14,579.675,0.06
2021-05-28,MMM,10429.5,203.03999,579.675,0.05
2021-06-30,MMM,10429.5,198.63,579.675,0.07
2021-07-30,MMM,10429.5,197.94,578.638,0.08
2021-08-31,MMM,10429.5,194.74001,578.638,0.07
2021-09-30,MMM,10429.5,175.42,578.638,0.08
2021-10-29,MMM,10429.5,178.67999,576.253,0.11
2021-11-30,MMM,10429.5,170.03999,576.253,0.18
2021-12-31,MMM,10429.5,177.63,576.253,0.3
2022-01-31,MMM,10429.5,166.02,571.845,0.55
2022-02-28,MMM,10429.5,148.64999,571.845,1
2022-03-31,MMM,9947,148.88,569.172,1.34
2022-04-29,MMM,9947,144.22,569.172,1.89
2022-05-31,MMM,9947,149.28999,569.059,2.06
2022-06-30,MMM,9947,129.41,569.059,2.65
2022-07-29,MMM,9947,143.24001,569.059,3.02
2022-08-31,MMM,9947,124.35,569.604,3.28
2022-09-30,MMM,9947,110.5,569.604,3.89
2022-10-31,MMM,9947,125.79,552.743,4.43
2022-11-30,MMM,9947,125.97,552.743,4.73
2022-12-30,MMM,9947,119.92,552.743,4.68
